category,elasticity,r_squared,p_value,n_obs,avg_price,avg_qty
consoles_games,-4.343,0.643,0.0002,16,29.71,10.75
garden_tools,-0.771,0.092,0.0005,130,79.54,16.98
watches_gifts,-0.163,0.004,0.59,79,156.44,15.87
health_beauty,-0.127,0.023,0.1322,100,136.35,15.77
perfumery,0.07,0.002,0.8604,20,86.23,11.1
furniture_decor,0.479,0.031,0.3029,36,59.23,22.72
computers_accessories,0.765,0.038,0.1708,51,114.83,16.82
cool_stuff,0.899,0.107,0.0348,42,110.98,7.9
bed_bath_table,1.006,0.188,0.0026,46,72.32,16.91
